step,parameter,exponent,count,elements,zero_count
1,blocks.0.attn.q.weight,-127,589824,589824,589824
1,blocks.0.attn.q.weight,-126,0,589824,0
1,blocks.0.attn.q.weight,-125,0,589824,0
1,blocks.0.attn.q.weight,-124,0,589824,0
1,blocks.0.attn.q.weight,-123,0,589824,0
1,blocks.0.attn.q.weight,-122,0,589824,0
1,blocks.0.attn.q.weight,-121,0,589824,0
1,blocks.0.attn.q.weight,-120,0,589824,0
1,blocks.0.attn.q.weight,-119,0,589824,0
1,blocks.0.attn.q.weight,-118,0,589824,0
1,blocks.0.attn.q.weight,-117,0,589824,0
1,blocks.0.attn.q.weight,-116,0,589824,0
1,blocks.0.attn.q.weight,-115,0,589824,0
1,blocks.0.attn.q.weight,-114,0,589824,0
1,blocks.0.attn.q.weight,-113,0,589824,0
1,blocks.0.attn.q.weight,-112,0,589824,0
1,blocks.0.attn.q.weight,-111,0,589824,0
1,blocks.0.attn.q.weight,-110,0,589824,0
1,blocks.0.attn.q.weight,-109,0,589824,0
1,blocks.0.attn.q.weight,-108,0,589824,0
1,blocks.0.attn.q.weight,-107,0,589824,0
1,blocks.0.attn.q.weight,-106,0,589824,0
1,blocks.0.attn.q.weight,-105,0,589824,0
1,blocks.0.attn.q.weight,-104,0,589824,0
1,blocks.0.attn.q.weight,-103,0,589824,0
1,blocks.0.attn.q.weight,-102,0,589824,0
1,blocks.0.attn.q.weight,-101,0,589824,0
1,blocks.0.attn.q.weight,-100,0,589824,0
1,blocks.0.attn.q.weight,-99,0,589824,0
1,blocks.0.attn.q.weight,-98,0,589824,0
1,blocks.0.attn.q.weight,-97,0,589824,0
1,blocks.0.attn.q.weight,-96,0,589824,0
1,blocks.0.attn.q.weight,-95,0,589824,0
1,blocks.0.attn.q.weight,-94,0,589824,0
1,blocks.0.attn.q.weight,-93,0,589824,0
1,blocks.0.attn.q.weight,-92,0,589824,0
1,blocks.0.attn.q.weight,-91,0,589824,0
1,blocks.0.attn.q.weight,-90,0,589824,0
1,blocks.0.attn.q.weight,-89,0,589824,0
1,blocks.0.attn.q.weight,-88,0,589824,0
1,blocks.0.attn.q.weight,-87,0,589824,0
1,blocks.0.attn.q.weight,-86,0,589824,0
1,blocks.0.attn.q.weight,-85,0,589824,0
1,blocks.0.attn.q.weight,-84,0,589824,0
1,blocks.0.attn.q.weight,-83,0,589824,0
1,blocks.0.attn.q.weight,-82,0,589824,0
1,blocks.0.attn.q.weight,-81,0,589824,0
1,blocks.0.attn.q.weight,-80,0,589824,0
1,blocks.0.attn.q.weight,-79,0,589824,0
1,blocks.0.attn.q.weight,-78,0,589824,0
1,blocks.0.attn.q.weight,-77,0,589824,0
1,blocks.0.attn.q.weight,-76,0,589824,0
1,blocks.0.attn.q.weight,-75,0,589824,0
1,blocks.0.attn.q.weight,-74,0,589824,0
1,blocks.0.attn.q.weight,-73,0,589824,0
1,blocks.0.attn.q.weight,-72,0,589824,0
1,blocks.0.attn.q.weight,-71,0,589824,0
1,blocks.0.attn.q.weight,-70,0,589824,0
1,blocks.0.attn.q.weight,-69,0,589824,0
1,blocks.0.attn.q.weight,-68,0,589824,0
1,blocks.0.attn.q.weight,-67,0,589824,0
1,blocks.0.attn.q.weight,-66,0,589824,0
1,blocks.0.attn.q.weight,-65,0,589824,0
