step,parameter,exponent,count,elements,zero_count
300,blocks.0.mlp.fc.weight,-127,0,2359296,0
300,blocks.0.mlp.fc.weight,-126,0,2359296,0
300,blocks.0.mlp.fc.weight,-125,0,2359296,0
300,blocks.0.mlp.fc.weight,-124,0,2359296,0
300,blocks.0.mlp.fc.weight,-123,0,2359296,0
300,blocks.0.mlp.fc.weight,-122,0,2359296,0
300,blocks.0.mlp.fc.weight,-121,0,2359296,0
300,blocks.0.mlp.fc.weight,-120,0,2359296,0
300,blocks.0.mlp.fc.weight,-119,0,2359296,0
300,blocks.0.mlp.fc.weight,-118,0,2359296,0
300,blocks.0.mlp.fc.weight,-117,0,2359296,0
300,blocks.0.mlp.fc.weight,-116,0,2359296,0
300,blocks.0.mlp.fc.weight,-115,0,2359296,0
300,blocks.0.mlp.fc.weight,-114,0,2359296,0
300,blocks.0.mlp.fc.weight,-113,0,2359296,0
300,blocks.0.mlp.fc.weight,-112,0,2359296,0
300,blocks.0.mlp.fc.weight,-111,0,2359296,0
300,blocks.0.mlp.fc.weight,-110,0,2359296,0
300,blocks.0.mlp.fc.weight,-109,0,2359296,0
300,blocks.0.mlp.fc.weight,-108,0,2359296,0
300,blocks.0.mlp.fc.weight,-107,0,2359296,0
300,blocks.0.mlp.fc.weight,-106,0,2359296,0
300,blocks.0.mlp.fc.weight,-105,0,2359296,0
300,blocks.0.mlp.fc.weight,-104,0,2359296,0
300,blocks.0.mlp.fc.weight,-103,0,2359296,0
300,blocks.0.mlp.fc.weight,-102,0,2359296,0
300,blocks.0.mlp.fc.weight,-101,0,2359296,0
300,blocks.0.mlp.fc.weight,-100,0,2359296,0
300,blocks.0.mlp.fc.weight,-99,0,2359296,0
300,blocks.0.mlp.fc.weight,-98,0,2359296,0
300,blocks.0.mlp.fc.weight,-97,0,2359296,0
300,blocks.0.mlp.fc.weight,-96,0,2359296,0
300,blocks.0.mlp.fc.weight,-95,0,2359296,0
300,blocks.0.mlp.fc.weight,-94,0,2359296,0
300,blocks.0.mlp.fc.weight,-93,0,2359296,0
300,blocks.0.mlp.fc.weight,-92,0,2359296,0
300,blocks.0.mlp.fc.weight,-91,0,2359296,0
300,blocks.0.mlp.fc.weight,-90,0,2359296,0
300,blocks.0.mlp.fc.weight,-89,0,2359296,0
300,blocks.0.mlp.fc.weight,-88,0,2359296,0
300,blocks.0.mlp.fc.weight,-87,0,2359296,0
300,blocks.0.mlp.fc.weight,-86,0,2359296,0
300,blocks.0.mlp.fc.weight,-85,0,2359296,0
300,blocks.0.mlp.fc.weight,-84,0,2359296,0
300,blocks.0.mlp.fc.weight,-83,0,2359296,0
300,blocks.0.mlp.fc.weight,-82,0,2359296,0
300,blocks.0.mlp.fc.weight,-81,0,2359296,0
300,blocks.0.mlp.fc.weight,-80,0,2359296,0
300,blocks.0.mlp.fc.weight,-79,0,2359296,0
300,blocks.0.mlp.fc.weight,-78,0,2359296,0
300,blocks.0.mlp.fc.weight,-77,0,2359296,0
300,blocks.0.mlp.fc.weight,-76,0,2359296,0
300,blocks.0.mlp.fc.weight,-75,0,2359296,0
300,blocks.0.mlp.fc.weight,-74,0,2359296,0
300,blocks.0.mlp.fc.weight,-73,0,2359296,0
300,blocks.0.mlp.fc.weight,-72,0,2359296,0
300,blocks.0.mlp.fc.weight,-71,0,2359296,0
300,blocks.0.mlp.fc.weight,-70,0,2359296,0
300,blocks.0.mlp.fc.weight,-69,0,2359296,0
300,blocks.0.mlp.fc.weight,-68,0,2359296,0
300,blocks.0.mlp.fc.weight,-67,0,2359296,0
300,blocks.0.mlp.fc.weight,-66,0,2359296,0
300,blocks.0.mlp.fc.weight,-65,0,2359296,0
300,blocks.0.mlp.fc.weight,-64,0,2359296,0
300,blocks.0.mlp.fc.weight,-63,0,2359296,0
300,blocks.0.mlp.fc.weight,-62,0,2359296,0
300,blocks.0.mlp.fc.weight,-61,0,2359296,0
300,blocks.0.mlp.fc.weight,-60,0,2359296,0
300,blocks.0.mlp.fc.weight,-59,0,2359296,0
300,blocks.0.mlp.fc.weight,-58,0,2359296,0
300,blocks.0.mlp.fc.weight,-57,0,2359296,0
300,blocks.0.mlp.fc.weight,-56,0,2359296,0
300,blocks.0.mlp.fc.weight,-55,0,2359296,0
300,blocks.0.mlp.fc.weight,-54,0,2359296,0
300,blocks.0.mlp.fc.weight,-53,0,2359296,0
300,blocks.0.mlp.fc.weight,-52,0,2359296,0
300,blocks.0.mlp.fc.weight,-51,0,2359296,0
300,blocks.0.mlp.fc.weight,-50,0,2359296,0
300,blocks.0.mlp.fc.weight,-49,0,2359296,0
300,blocks.0.mlp.fc.weight,-48,0,2359296,0
300,blocks.0.mlp.fc.weight,-47,0,2359296,0
300,blocks.0.mlp.fc.weight,-46,0,2359296,0
300,blocks.0.mlp.fc.weight,-45,0,2359296,0
300,blocks.0.mlp.fc.weight,-44,0,2359296,0
300,blocks.0.mlp.fc.weight,-43,0,2359296,0
300,blocks.0.mlp.fc.weight,-42,0,2359296,0
300,blocks.0.mlp.fc.weight,-41,0,2359296,0
300,blocks.0.mlp.fc.weight,-40,0,2359296,0
300,blocks.0.mlp.fc.weight,-39,0,2359296,0
300,blocks.0.mlp.fc.weight,-38,0,2359296,0
300,blocks.0.mlp.fc.weight,-37,0,2359296,0
300,blocks.0.mlp.fc.weight,-36,0,2359296,0
300,blocks.0.mlp.fc.weight,-35,0,2359296,0
300,blocks.0.mlp.fc.weight,-34,0,2359296,0
300,blocks.0.mlp.fc.weight,-33,0,2359296,0
300,blocks.0.mlp.fc.weight,-32,2,2359296,0
300,blocks.0.mlp.fc.weight,-31,3,2359296,0
300,blocks.0.mlp.fc.weight,-30,9,2359296,0
300,blocks.0.mlp.fc.weight,-29,33,2359296,0
300,blocks.0.mlp.fc.weight,-28,64,2359296,0
300,blocks.0.mlp.fc.weight,-27,50,2359296,0
300,blocks.0.mlp.fc.weight,-26,9,2359296,0
300,blocks.0.mlp.fc.weight,-25,0,2359296,0
300,blocks.0.mlp.fc.weight,-24,0,2359296,0
300,blocks.0.mlp.fc.weight,-23,0,2359296,0
300,blocks.0.mlp.fc.weight,-22,0,2359296,0
300,blocks.0.mlp.fc.weight,-21,0,2359296,0
300,blocks.0.mlp.fc.weight,-20,0,2359296,0
300,blocks.0.mlp.fc.weight,-19,0,2359296,0
300,blocks.0.mlp.fc.weight,-18,1,2359296,0
300,blocks.0.mlp.fc.weight,-17,10,2359296,0
300,blocks.0.mlp.fc.weight,-16,36,2359296,0
300,blocks.0.mlp.fc.weight,-15,137,2359296,0
300,blocks.0.mlp.fc.weight,-14,317,2359296,0
300,blocks.0.mlp.fc.weight,-13,597,2359296,0
300,blocks.0.mlp.fc.weight,-12,1176,2359296,0
300,blocks.0.mlp.fc.weight,-11,2458,2359296,0
300,blocks.0.mlp.fc.weight,-10,4851,2359296,0
300,blocks.0.mlp.fc.weight,-9,10002,2359296,0
300,blocks.0.mlp.fc.weight,-8,20079,2359296,0
300,blocks.0.mlp.fc.weight,-7,40094,2359296,0
300,blocks.0.mlp.fc.weight,-6,79173,2359296,0
300,blocks.0.mlp.fc.weight,-5,156641,2359296,0
300,blocks.0.mlp.fc.weight,-4,303198,2359296,0
300,blocks.0.mlp.fc.weight,-3,537597,2359296,0
300,blocks.0.mlp.fc.weight,-2,718531,2359296,0
300,blocks.0.mlp.fc.weight,-1,429869,2359296,0
