step,parameter,exponent,count,elements,zero_count
1,embed.weight,-127,8,38633472,8
1,embed.weight,-126,0,38633472,0
1,embed.weight,-125,0,38633472,0
1,embed.weight,-124,0,38633472,0
1,embed.weight,-123,0,38633472,0
1,embed.weight,-122,0,38633472,0
1,embed.weight,-121,0,38633472,0
1,embed.weight,-120,0,38633472,0
1,embed.weight,-119,0,38633472,0
1,embed.weight,-118,0,38633472,0
1,embed.weight,-117,0,38633472,0
1,embed.weight,-116,0,38633472,0
1,embed.weight,-115,0,38633472,0
1,embed.weight,-114,0,38633472,0
1,embed.weight,-113,0,38633472,0
1,embed.weight,-112,0,38633472,0
1,embed.weight,-111,0,38633472,0
1,embed.weight,-110,0,38633472,0
1,embed.weight,-109,0,38633472,0
1,embed.weight,-108,0,38633472,0
1,embed.weight,-107,0,38633472,0
1,embed.weight,-106,0,38633472,0
1,embed.weight,-105,0,38633472,0
1,embed.weight,-104,0,38633472,0
1,embed.weight,-103,0,38633472,0
1,embed.weight,-102,0,38633472,0
1,embed.weight,-101,0,38633472,0
1,embed.weight,-100,0,38633472,0
1,embed.weight,-99,0,38633472,0
1,embed.weight,-98,0,38633472,0
1,embed.weight,-97,0,38633472,0
1,embed.weight,-96,0,38633472,0
1,embed.weight,-95,0,38633472,0
1,embed.weight,-94,0,38633472,0
1,embed.weight,-93,0,38633472,0
1,embed.weight,-92,0,38633472,0
1,embed.weight,-91,0,38633472,0
1,embed.weight,-90,0,38633472,0
1,embed.weight,-89,0,38633472,0
1,embed.weight,-88,0,38633472,0
1,embed.weight,-87,0,38633472,0
1,embed.weight,-86,0,38633472,0
1,embed.weight,-85,0,38633472,0
1,embed.weight,-84,0,38633472,0
1,embed.weight,-83,0,38633472,0
1,embed.weight,-82,0,38633472,0
1,embed.weight,-81,0,38633472,0
1,embed.weight,-80,0,38633472,0
1,embed.weight,-79,0,38633472,0
1,embed.weight,-78,0,38633472,0
1,embed.weight,-77,0,38633472,0
1,embed.weight,-76,0,38633472,0
1,embed.weight,-75,0,38633472,0
1,embed.weight,-74,0,38633472,0
1,embed.weight,-73,0,38633472,0
